,GIGB
symbol,GIGB
price,46.23
beta,0
volAvg,67631
mktCap,299727906
lastDiv,1.258
range,41.72-52.56
changes,0.33
companyName,Goldman Sachs Access Investment Grade Corporate Bond ETF
currency,USD
cik,
isin,US3814304792
cusip,381430479
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index. The index is a rules-based index that is designed to measure the performance of investment grade, corporate bonds denominated in U.S. dollars (""USD"") that meet certain liquidity and fundamental screening criteria."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GIGB.png
ipoDate,2017-06-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
