,IEO
symbol,IEO
price,95.44
beta,0
volAvg,158298
mktCap,287399713
lastDiv,3.504
range,70.09-106.36
changes,0.51
companyName,iShares U.S. Oil & Gas Exploration & Production ETF
currency,USD
cik,
isin,US4642888519
cusip,464288851
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index, but which BFA believes will help the fund track the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IEO.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
