,SPSM
symbol,SPSM
price,40.49
beta,0
volAvg,876406
mktCap,0
lastDiv,0.5089999999999999
range,33.73-43.45
changes,0.99
companyName,SPDR Portfolio S&P 600 Small Cap ETF
currency,USD
cik,
isin,US78468R8530
cusip,78468R853
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index measures the performance of the small-capitalization segment of the U.S. equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPSM.png
ipoDate,2013-07-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
