,PBD
symbol,PBD
price,20.86
beta,0
volAvg,33426
mktCap,0
lastDiv,0.5469999999999999
range,17.19-26.0
changes,0.42
companyName,Invesco Global Clean Energy ETF
currency,USD
cik,
isin,US46138G8472
cusip,73936T615
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"") that represent securities in the underlying index. The underlying index is comprised primarily of companies whose technologies focus on the generation and use of cleaner energy, conservation and efficiency, and the advancement of renewable energy in general, as determined by the index provider."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PBD.png
ipoDate,2007-06-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
