,PXF
symbol,PXF
price,45.27
beta,0
volAvg,98631
mktCap,0
lastDiv,1.4889999999999999
range,34.56-49.57
changes,0.31
companyName,Invesco FTSE RAFI Developed Markets ex-U.S. ETF
currency,USD
cik,
isin,US46138E7435
cusip,46138E743
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"") that represent securities in the underlying index. The underlying index is comprised of companies located in countries that are classified as ""developed"" within the country classification definition of FTSE, excluding the United States."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PXF.png
ipoDate,2007-06-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
