,PTNQ
symbol,PTNQ
price,51.71
beta,0
volAvg,48549
mktCap,0
lastDiv,0.306
range,48.19-56.85
changes,0.45
companyName,Pacer Trendpilot 100 ETF
currency,USD
cik,
isin,US69374H3030
cusip,69374H303
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the index. The index implements a systematic trend-following strategy that directs exposure (i) 100% to the NASDAQ-100® Index, (ii) 50% to the NASDAQ-100 and 50% to 3-Month U.S. Treasury bills, or (iii) 100% to 3-Month U.S. Treasury bills, depending on the relative performance of the NASDAQ-100 and its 200-business day historical simple moving average. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PTNQ.png
ipoDate,2015-06-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
