,ITA
symbol,ITA
price,115.18
beta,0
volAvg,616630
mktCap,0
lastDiv,1.06
range,91.02-115.32
changes,0.51
companyName,iShares U.S. Aerospace & Defense ETF
currency,USD
cik,
isin,US4642887602
cusip,464288760
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The index measures the performance of the aerospace and defense sector of the U.S. equity market, as defined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ITA.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
