,USHY
symbol,USHY
price,35.79
beta,0
volAvg,6838240
mktCap,0
lastDiv,1.935
range,33.09-40.14
changes,0.24
companyName,iShares Broad USD High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46435U8532
cusip,46435U853
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The underlying index is designed to provide a broad representation of the U.S. dollar-denominated high yield corporate bond market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/USHY.png
ipoDate,2017-10-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
