,JPHY
symbol,JPHY
price,45.45
beta,0
volAvg,62886
mktCap,0
lastDiv,2.3590000000000004
range,42.12-50.411
changes,0.3678
companyName,JPMorgan High Yield Research Enhanced ETF
currency,USD
cik,
isin,US46641Q8785
cusip,46641Q878
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests primarily in high yield, high risk debt securities. Under normal circumstances, it invests at least 80% of its assets in high yield securities. For purposes of this policy, ""assets"" means net assets plus the amount of borrowings for investment purposes. The fund may invest up to 100% of its total assets in below investment grade or unrated securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPHY.png
ipoDate,2016-09-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
