,PLW
symbol,PLW
price,29.96
beta,0
volAvg,85585
mktCap,0
lastDiv,0.578
range,27.35-35.79
changes,0.15
companyName,Invesco 1-30 Laddered Treasury ETF
currency,USD
cik,
isin,US46138E1073
cusip,46138E107
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in the components of the index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. oversees the index, which seeks to measure the potential returns of a theoretical portfolio of U.S. Treasury securities with a yield curve based upon 30 distinct annual maturities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PLW.png
ipoDate,2007-10-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
