,FDIG
symbol,FDIG
price,15.31
beta,0
volAvg,27754
mktCap,0
lastDiv,0
range,9.9-25.72
changes,0.4
companyName,Fidelity Crypto Industry and Digital Payments ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund ormally invests at least 80% of assets in equity securities included in the index and in depositary receipts representing securities included in the index. The index is designed to reflect the performance of a global universe of companies engaged in activities related to cryptocurrency, related blockchain technology, and digital payments processing. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FDIG.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
