,ILCV
symbol,ILCV
price,66.16
beta,0
volAvg,34662
mktCap,661611247
lastDiv,1.4680000000000002
range,56.03-70.02
changes,0.9
companyName,iShares Morningstar Value ETF
currency,USD
cik,
isin,US4642881092
cusip,464288109
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of stocks issued by large-mid capitalization companies that have exhibited above-average “value” characteristics as determined by Morningstar, Inc.’s proprietary index methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ILCV.png
ipoDate,2004-06-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
