,BSJP
symbol,BSJP
price,22.51
beta,0
volAvg,318245
mktCap,1967348114
lastDiv,1.2149999999999999
range,21.56-24.26
changes,0.13
companyName,Invesco BulletShares 2025 High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138J8172
cusip,46138J817
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2025 (collectively, ""2025 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSJP.png
ipoDate,2017-09-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
