,XHYT
symbol,XHYT
price,35.2
beta,0
volAvg,398
mktCap,0
lastDiv,0
range,33.548-40.12
changes,0.3057
companyName,BondBloxx US High Yield Telecom Media Technology Sector ETF
currency,USD
cik,0001879238
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets (plus the amount of any borrowings for investment purposes) in high-yield, below-investment grade bonds denominated in U.S. dollars of issuers in the telecom, media and technology sector, either directly or indirectly (e.g., through derivatives). It is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHYT.png
ipoDate,2022-02-17
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
