,TYD
symbol,TYD
price,32.58
beta,0
volAvg,29162
mktCap,0
lastDiv,0.164
range,26.97-50.48
changes,0.4724
companyName,Direxion Daily 7-10 Year Treasury Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W5655
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a market value weighted index that includes publicly issued U.S. Treasury securities that have a remaining maturity of greater than or equal to seven years and less than ten years. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TYD.png
ipoDate,2009-04-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
