,TFI
symbol,TFI
price,47.12
beta,0
volAvg,1676191
mktCap,0
lastDiv,0.7729999999999999
range,43.43-50.52
changes,0.09
companyName,SPDR Nuveen Bloomberg Municipal Bond ETF
currency,USD
cik,
isin,US78468R7219
cusip,78468R721
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Sub-Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to track the U.S. fully tax-exempt bond market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TFI.png
ipoDate,2007-09-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
