,IAU
symbol,IAU
price,36.59
beta,0
volAvg,4720577
mktCap,35497789159
lastDiv,0
range,30.69-39.36
changes,0.15
companyName,iShares Gold Trust
currency,USD
cik,0001278680
isin,US4642852044
cusip,464285105
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Trust seeks to reflect such performance before payment of the Trust’s expenses and liabilities. It is not actively managed. The Trust does not engage in any activities designed to obtain a profit from, or to ameliorate losses caused by, changes in the price of gold. The advisor intends to constitute a simple and cost-effective means of making an investment similar to an investment in gold. An investment in physical gold requires expensive and sometimes complicated arrangements in connection with the assay, transportation, warehousing and insurance of the metal."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,3.54
dcf,33.01
image,https://financialmodelingprep.com/image-stock/IAU.png
ipoDate,2005-01-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
