,REET
symbol,REET
price,24.86
beta,0
volAvg,845472
mktCap,0
lastDiv,0.55
range,20.04-30.025
changes,0.33
companyName,iShares Global REIT ETF
currency,USD
cik,
isin,US46434V6478
cusip,46434V647
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is designed to track the performance of publicly-listed real estate investment trusts (""REITs"") (or their local equivalents) in both developed and emerging markets. The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/REET.png
ipoDate,2014-07-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
