,ZHY.TO
symbol,ZHY.TO
price,10.98
beta,0
volAvg,27890
mktCap,0
lastDiv,0.7200000000000002
range,10.31-12.68
changes,0.06
companyName,BMO High Yield US Corporate Bond Hedged to CAD Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZHY.TO.png
ipoDate,2009-10-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
