,IAK
symbol,IAK
price,94.83
beta,0
volAvg,74870
mktCap,0
lastDiv,1.5490000000000002
range,77.94-94.83
changes,0.91
companyName,iShares U.S. Insurance ETF
currency,USD
cik,
isin,US4642887867
cusip,464288786
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents as well as in securities not included in the underlying index, but which BFA believes will help the fund track the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IAK.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
