,UBOT
symbol,UBOT
price,15.97
beta,0
volAvg,15265
mktCap,0
lastDiv,0.98
range,8.93-31.77
changes,0.31
companyName,"Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares"
currency,USD
cik,0001424958
isin,US25460G8235
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its net assets in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to provide exposure to exchange-listed companies in developed markets that are expected to benefit from the adoption and utilization of robotics and/or artificial intelligence. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UBOT.png
ipoDate,2018-04-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
