,DUSL
symbol,DUSL
price,35.05
beta,0
volAvg,34972
mktCap,6834680
lastDiv,0.211
range,19.97-45.0
changes,1.67
companyName,Direxion Daily Industrials Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460E7379
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index includes domestic companies from the industrials sector which includes the following industries: aerospace and defense; industrial conglomerates; marine and etc. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DUSL.png
ipoDate,2017-05-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
