,TDB.TO
symbol,TDB.TO
price,13.18
beta,0
volAvg,15508
mktCap,0
lastDiv,0.36800000000000005
range,12.46-14.4
changes,-0.04
companyName,TD Canadian Aggregate Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TDB.TO.png
ipoDate,2016-03-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
