,DNL
symbol,DNL
price,35.41
beta,0
volAvg,121814
mktCap,214856761
lastDiv,1.5540000000000003
range,26.64-42.37
changes,0.22
companyName,WisdomTree Global ex-U.S. Quality Dividend Growth Fund
currency,USD
cik,
isin,US97717W8441
cusip,97717W844
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that consists of dividend-paying global ex-U.S. common stocks with growth characteristics. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DNL.png
ipoDate,2006-06-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
