,GOAU
symbol,GOAU
price,17.54
beta,0
volAvg,23975
mktCap,0
lastDiv,0.24
range,11.301-22.41
changes,0.1
companyName,U.S. Global GO GOLD and Precious Metal Miners ETF
currency,USD
cik,
isin,US26922A7191
cusip,26922A719
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its net assets in Precious Metals Companies and at least 20% of its net assets (plus borrowings for investment purposes) in Precious Metals Companies that primarily derive their revenue from gold. The index is composed of the exchange-listed common stock (or American Depositary Receipts (""ADRs"")) of U.S. and international (including emerging markets) companies that earn at least 50 percent of their aggregate revenue from precious metals. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GOAU.png
ipoDate,2017-06-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
