,SJNK
symbol,SJNK
price,25.02
beta,0
volAvg,5018101
mktCap,0
lastDiv,1.2740000000000002
range,23.47-26.81
changes,0.17
companyName,SPDR Bloomberg Short Term High Yield Bond ETF
currency,USD
cik,
isin,US78468R4083
cusip,78468R408
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of short-term publicly issued U.S. dollar-denominated high yield corporate bonds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SJNK.png
ipoDate,2012-03-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
