,RYF
symbol,RYF
price,61.23
beta,0
volAvg,33288
mktCap,0
lastDiv,1.099
range,50.37-68.22
changes,0.9247
companyName,Invesco S&P 500 Equal Weight Financials ETF
currency,USD
cik,
isin,US46137V3400
cusip,46137V340
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Financials Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the financials sector, as defined according to the Global Industry Classification Standard (""GICS"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RYF.png
ipoDate,2006-11-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
