,IWM
symbol,IWM
price,194.26
beta,0
volAvg,23102526
mktCap,54596767755
lastDiv,2.5849999999999995
range,162.5-212.25
changes,2.78
companyName,iShares Russell 2000 ETF
currency,USD
cik,
isin,US4642876555
cusip,464287655
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IWM.png
ipoDate,2000-05-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
