,FXG
symbol,FXG
price,63.36
beta,0
volAvg,103485
mktCap,326218020
lastDiv,1.1500000000000001
range,56.78-68.54
changes,0.84
companyName,First Trust Consumer Staples AlphaDEX Fund
currency,USD
cik,
isin,US33734X1191
cusip,33734X119
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the consumer staples sector that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXG.png
ipoDate,2007-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
