,SPDN
symbol,SPDN
price,15.6
beta,0
volAvg,3943426
mktCap,0
lastDiv,0.158
range,14.225-18.32
changes,-0.23
companyName,Direxion Daily S&P 500 Bear 1X Shares
currency,USD
cik,0001424958
isin,US25460E8690
cusip,25460E869
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a float-adjusted and market capitalization-weighted index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPDN.png
ipoDate,2016-06-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
