,XMMO
symbol,XMMO
price,79.08
beta,0
volAvg,72706
mktCap,0
lastDiv,1.076
range,68.22-89.83
changes,1.8
companyName,Invesco S&P MidCap Momentum ETF
currency,USD
cik,
isin,US46137V4648
cusip,46137V464
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which is composed of constituents of the S&P MidCap 400® Index that have the highest ""momentum score."""
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XMMO.png
ipoDate,2005-03-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
