,USTB
symbol,USTB
price,49.175
beta,0
volAvg,58854
mktCap,0
lastDiv,1.25
range,48.03-51.03
changes,0.095
companyName,VictoryShares USAA Core Short-Term Bond ETF
currency,USD
cik,
isin,US92647N5352
cusip,92647N535
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its assets in debt securities and in derivatives and other instruments that have economic characteristics similar to such securities. It primarily invests in securities that have a dollar-weighted average portfolio maturity of three years or less. The fund may invest up to 20% of its net assets in foreign debt securities, including non-U.S. dollar-denominated securities and securities of companies in emerging market countries."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/USTB.png
ipoDate,2017-10-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
