,DUG
symbol,DUG
price,11.61
beta,0
volAvg,466922
mktCap,11029024
lastDiv,0.035
range,10.87-33.08
changes,-0.23
companyName,ProShares UltraShort Oil & Gas
currency,USD
cik,
isin,US74348A5258
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the stock performance of U.S. companies in the oil and gas sector. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DUG.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
