,MXI
symbol,MXI
price,87.32
beta,0
volAvg,30547
mktCap,0
lastDiv,3.804
range,66.02-95.6
changes,0.8622
companyName,iShares Global Materials ETF
currency,USD
cik,
isin,US4642886950
cusip,464288695
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of companies that SPDJI deems to be part of the materials sector of the economy and that SPDJI believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MXI.png
ipoDate,2006-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
