,XHY.TO
symbol,XHY.TO
price,16.15
beta,0
volAvg,34598
mktCap,0
lastDiv,0.8999999999999998
range,15.08-18.19
changes,0.13
companyName,iShares U.S. High Yield Bond Index ETF (CAD-Hedged)
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHY.TO.png
ipoDate,2010-01-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
