,EAI
symbol,EAI
price,23.47
beta,0.104957
volAvg,0
mktCap,1102625294
lastDiv,0.285
range,23.39-83.13
changes,0.08
companyName,"Entergy Arkansas, Inc. 1M BD 4.875%66"
currency,USD
cik,0000007323
isin,US29364D1000
cusip,29364D100
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,202.434
dcf,225.734
image,https://financialmodelingprep.com/image-stock/EAI.png
ipoDate,2016-08-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
