,XIC.TO
symbol,XIC.TO
price,33.08
beta,0
volAvg,397348
mktCap,7161819868
lastDiv,0.956
range,28.44-35.42
changes,0.29
companyName,iShares Core S&P/TSX Capped Composite Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XIC.TO.png
ipoDate,2001-02-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
