,UPAR
symbol,UPAR
price,14.5
beta,0
volAvg,242809
mktCap,0
lastDiv,0
range,11.73-19.63
changes,-0.0247
companyName,UPAR Ultra Risk Parity ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund is an actively-managed ETF that seeks to replicate the returns of the Advanced Research Ultra Risk Parity Index (the “UPAR Index”). The UPAR Index is designed to provide leveraged exposure to the Advanced Research Risk Parity Index (the “RPAR Index”). It is non-diversified.
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UPAR.png
ipoDate,2022-01-04
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
