,DFAE
symbol,DFAE
price,23.84
beta,0
volAvg,948806
mktCap,0
lastDiv,0.6250000000000001
range,19.43-28.05
changes,0.01
companyName,Dimensional Emerging Core Equity Market ETF
currency,USD
cik,0001816125
isin,US25434V3024
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is designed to purchase a broad and diverse group of readily marketable emerging markets securities that is composed of companies within the Emerging Markets Universe that meet the Advisor's investment criteria. The Advisor defines the ""Emerging Markets Universe"" as a market capitalization weighted set of non-U.S. companies associated with emerging markets, which may include frontier markets that have been designated as Approved Markets for investment by the Advisor."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DFAE.png
ipoDate,2020-12-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
