,FNX
symbol,FNX
price,96.91
beta,0
volAvg,45798
mktCap,0
lastDiv,1.041
range,79.36-100.88
changes,2.37
companyName,First Trust Mid Cap Core AlphaDEX Fund
currency,USD
cik,
isin,US33735B1089
cusip,33735B108
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to select stocks from the NASDAQ US 600 Mid Cap Index TM (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNX.png
ipoDate,2007-05-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
