,HYXU
symbol,HYXU
price,46.47
beta,0
volAvg,11583
mktCap,0
lastDiv,0.27
range,37.59-51.62
changes,0.37
companyName,iShares International High Yield Bond ETF
currency,USD
cik,
isin,US4642862100
cusip,464286210
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The index is a rules-based index consisting of high yield corporate bonds denominated in euros, British pounds sterling and Canadian dollars."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYXU.png
ipoDate,2012-04-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
