,ZWE.TO
symbol,ZWE.TO
price,19.6
beta,0
volAvg,15809
mktCap,0
lastDiv,1.32
range,16.49-20.03
changes,0.05
companyName,BMO Europe High Dividend Covered Call Hedged to CAD ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZWE.TO.png
ipoDate,2015-09-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
