,PTIN
symbol,PTIN
price,26.65
beta,0
volAvg,19409
mktCap,0
lastDiv,0.099
range,23.94-28.41
changes,0.22
companyName,Pacer Trendpilot International ETF
currency,USD
cik,
isin,US69374H6835
cusip,69374H683
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is based on a proprietary methodology developed and maintained by Index Design Group, an affiliate of Pacer Advisors, Inc., the fund's investment adviser. Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PTIN.png
ipoDate,2019-05-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
