,FEHY
symbol,FEHY
price,42.47
beta,0
volAvg,663
mktCap,0
lastDiv,2.622
range,39.64-48.3
changes,0.3472
companyName,FlexShares ESG & Climate High Yield Corporate Core Index Fund
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The underlying index seeks to reflect the performance of a selection of U.S.-dollar-denominated high-yield corporate bonds issued by companies that exhibit certain ESG characteristics, while also seeking to provide broad-market, core exposure to U.S.-dollar-denominated high-yield corporate bond of U.S. and non-U.S. issuers. Under normal circumstances, the fund will invest at least 80% of its total assets in the securities of the underlying index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FEHY.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
