,XLB.TO
symbol,XLB.TO
price,20.1
beta,0
volAvg,81840
mktCap,0
lastDiv,0.7609999999999999
range,17.62-23.74
changes,-0.03
companyName,iShares Core Canadian Long Term Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLB.TO.png
ipoDate,2006-11-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
