,WEBL
symbol,WEBL
price,8.39
beta,0
volAvg,3845918
mktCap,0
lastDiv,3.051
range,5.02-44.49
changes,0.44
companyName,Direxion Daily Dow Jones Internet Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460E3642
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes companies that generate at least 50% of their annual sales/revenue from the internet as determined by the index provider. It is non-diversified. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WEBL.png
ipoDate,2019-11-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
