,SDG
symbol,SDG
price,82.99
beta,0
volAvg,24790
mktCap,0
lastDiv,1.436
range,68.51-88.51
changes,0.75
companyName,iShares MSCI Global Impact ETF
currency,USD
cik,
isin,US46435G5320
cusip,46435G532
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is composed of companies that derive a majority of their revenue from products and services that address at least one of the world's major social and environmental challenges as identified by the United Nations Sustainable Development Goals.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SDG.png
ipoDate,2016-04-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
