,HSAV.TO
symbol,HSAV.TO
price,105.5
beta,0
volAvg,47906
mktCap,0
lastDiv,0
range,101.47-106.07
changes,-0.33
companyName,Horizons Cash Maximizer ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HSAV.TO.png
ipoDate,2020-02-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
