,SRS
symbol,SRS
price,15.01
beta,0
volAvg,163165
mktCap,0
lastDiv,0.055
range,12.0-23.88
changes,-0.61
companyName,ProShares UltraShort Real Estate
currency,USD
cik,
isin,US74348A2446
cusip,74347G556
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to track the performance of real estate investment trusts (“REITs”) and other companies that invest directly or indirectly in real estate through development, management, or ownership, including property agencies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SRS.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
