,IYJ
symbol,IYJ
price,102.26
beta,0
volAvg,97983
mktCap,598221000
lastDiv,1.014
range,82.74-109.12
changes,1.72
companyName,iShares U.S. Industrials ETF
currency,USD
cik,
isin,US4642877546
cusip,464287754
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the industrials sector of the U.S. equity market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYJ.png
ipoDate,2000-06-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
