,FID
symbol,FID
price,16.27
beta,0
volAvg,39365
mktCap,157037064
lastDiv,0.646
range,13.14-19.0
changes,-0.0629
companyName,First Trust S&P International Dividend Aristocrats Fund
currency,USD
cik,
isin,US33738R6889
cusip,33738R688
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal conditions, the fund will invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index measures the performance of high dividend yielding companies that have followed a managed-dividends policy of increasing or maintaining dividends for at least ten consecutive years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FID.png
ipoDate,2013-08-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
