,EXI
symbol,EXI
price,113
beta,0
volAvg,21095
mktCap,234586305
lastDiv,1.7349999999999999
range,89.52-118.45
changes,1.441
companyName,iShares Global Industrials ETF
currency,USD
cik,
isin,US4642887297
cusip,464288729
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of companies that the index provider deems to be part of the industrials sector of the economy and that the index provider believes are important to global markets. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EXI.png
ipoDate,2006-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
