,SCHI
symbol,SCHI
price,45
beta,0
volAvg,106421
mktCap,0
lastDiv,1.224
range,40.84-50.44
changes,0.35
companyName,Schwab 5-10 Year Corporate Bond ETF
currency,USD
cik,
isin,
cusip,808524698
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"To pursue its goal, the fund generally invests in securities that are included in the index. The index measures the performance of U.S. investment grade, taxable corporate bonds with maturities greater than or equal to five years and less than ten years that have $300 million or more of outstanding face value. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets in securities included in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCHI.png
ipoDate,2019-10-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
