,XLF
symbol,XLF
price,36.56
beta,0
volAvg,41884224
mktCap,32298749566
lastDiv,0.6990000000000001
range,29.59-41.39
changes,0.49
companyName,Financial Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y6059
cusip,81369Y605
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: diversified financial services; insurance; banks; capital markets; mortgage real estate investment trusts (""REITs""); consumer finance; and thrifts and mortgage finance. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLF.png
ipoDate,1998-12-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
