,SHE
symbol,SHE
price,83.44
beta,0
volAvg,6160
mktCap,0
lastDiv,1.213
range,71.5-95.36
changes,1.09
companyName,SPDR SSGA Gender Diversity Index ETF
currency,USD
cik,
isin,US821686J944
cusip,78468R747
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. In addition, it may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SHE.png
ipoDate,2016-03-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
