,SPLB
symbol,SPLB
price,24.13
beta,0
volAvg,996396
mktCap,0
lastDiv,0.9279999999999998
range,20.34-30.09
changes,0.22
companyName,SPDR Portfolio Long Term Corporate Bond ETF
currency,USD
cik,
isin,US78464A3674
cusip,78464A367
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of U.S. corporate bonds that have a maturity of greater than or equal to 10 years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPLB.png
ipoDate,2009-03-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
