,QLD
symbol,QLD
price,42.47
beta,0
volAvg,4833921
mktCap,0
lastDiv,0.109
range,32.98-76.45
changes,1.27
companyName,ProShares Ultra QQQ
currency,USD
cik,
isin,US74347R2067
cusip,74347R206
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QLD.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
