,MUB
symbol,MUB
price,108.12
beta,0
volAvg,5951006
mktCap,0
lastDiv,2.013
range,101.35-113.94
changes,0.23
companyName,iShares National Muni Bond ETF
currency,USD
cik,
isin,US4642884146
cusip,464288414
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the underlying index and it will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index. The underlying index includes municipal bonds, the interest of which is exempt from Federal income taxes and not subject to alternative minimum tax."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MUB.png
ipoDate,2007-09-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
