,ALTL
symbol,ALTL
price,40.4742
beta,0
volAvg,200793
mktCap,0
lastDiv,0.498
range,34.16-46.4
changes,0.0042
companyName,Pacer Lunt Large Cap Alternator ETF
currency,USD
cik,
isin,US69374H7171
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index uses an objective, rules-based methodology to provide exposure to large-capitalization U.S. companies. Under normal circumstances, the fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in securities of large cap companies. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ALTL.png
ipoDate,2020-06-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
