,BBIN
symbol,BBIN
price,54.14
beta,0
volAvg,154329
mktCap,0
lastDiv,1.403
range,41.39-58.93
changes,0.32
companyName,JPMorgan BetaBuilders International Equity ETF
currency,USD
cik,
isin,US46641Q3737
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund will invest at least 80% of its assets in securities included in the underlying index."" The underlying index is a free float adjusted market capitalization weighted index which consists of equity securities from developed countries or regions."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BBIN.png
ipoDate,2019-12-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
