,PSQ
symbol,PSQ
price,13.33
beta,0
volAvg,19257316
mktCap,426195998
lastDiv,0.051
range,11.27-15.63
changes,-0.2
companyName,ProShares Short QQQ
currency,USD
cik,
isin,US74347B7148
cusip,74347B714
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PSQ.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
