,THD
symbol,THD
price,79.63
beta,0
volAvg,89014
mktCap,406113000
lastDiv,1.814
range,62.2-81.64
changes,-0.28
companyName,iShares MSCI Thailand ETF
currency,USD
cik,
isin,US4642866242
cusip,464286624
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the performance of the large-, mid- and small-capitalization segments of the Thailand equity market. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/THD.png
ipoDate,2008-03-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
