,VNLA
symbol,VNLA
price,47.795
beta,0
volAvg,403660
mktCap,0
lastDiv,0.7270000000000002
range,47.37-49.42
changes,0.045
companyName,Janus Henderson Short Duration Income ETF
currency,USD
cik,
isin,US47103U8861
cusip,47103U886
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its net assets in a portfolio of fixed income instruments of varying maturities. It may invest up to 20% in asset-backed securities that are rated investment grade or of similar quality as determined by the Adviser. The average portfolio duration of the fund generally will be within 0-2 years of the index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VNLA.png
ipoDate,2016-11-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
