,FNGD
symbol,FNGD
price,33.4
beta,0
volAvg,1007509
mktCap,21780139733
lastDiv,0
range,31.335-98.1
changes,-2.22
companyName,MicroSectors FANG+ Index -3X Inverse Leveraged ETN
currency,USD
cik,0000927971
isin,US0636796668
cusip,06367V204
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The notes are intended to be daily trading tools for sophisticated investors to manage daily trading risks as part of an overall diversified portfolio. The index is an equal-dollar weighted index designed to represent a segment of the technology and consumer discretionary sectors consisting of highly-traded growth stocks of technology and tech-enabled companies.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNGD.png
ipoDate,2018-01-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
